First Num  Second Num   Sum   Quotient
-630        452           -178       -0.7174603174603175  
578        624           1202        0.9262820512820513  
599       -602             -3        -1.005008347245409  
477        589           1066        0.8098471986417657  
522        423            945        1.2340425531914894  
624        589           1213        1.0594227504244482  
401        415            816        0.9662650602409638  
621        429           1050        1.4475524475524475  
521        467            988        1.1156316916488223  
481        501            982        0.9600798403193613  
456        632           1088        0.7215189873417721  
402        540            942        0.7444444444444445  
530        450            980        1.1777777777777778  
542        523           1065        1.0363288718929253  
456        502            958        0.9083665338645418  
603        592           1195        1.0185810810810811  
430        612           1042        0.7026143790849673  
520        607           1127          0.85667215815486  
467        430            897         1.086046511627907  
507        528           1035        0.9602272727272727  
